,Buyer,Average Purchase Price
200,2523051 Ontario Limited - Ontario Auto Centre,107.915
201,2527 1743 Quebec Inc,104.71
202,2528327 Alberta Limited,151.32
203,2544484 Ontario Inc - Open Roads Auto Sales,100.60638297872342
204,2547911 Alberta Limited,292.16
205,2547945 Ontario Inc,93.97091428571426
206,2552-6492 Quebec Inc,78.65
207,2554491 Ontario Limited,159.77857142857144
208,2567383 Ontario Inc - West Toronto Kia,105.09
209,2568221 Ontario Inc - Garden City Motors,98.55833333333334
210,2581792 Ontario Inc,88.66307692307693
211,2603967 Ontario Inc - Lecos Auto Sales Dufferin,106.32
212,2622354 Ontario Limited - Maple Auto,90.05341463414635
213,2631273 Ontario Inc,116.6270588235294
214,2652647 Ontario Inc - Next Gen Auto,118.272
215,2659180 Ontario Inc - Auto Galleria,131.31466666666665
216,2688955 Ontario Inc - Revco Motorsports,45.04999999999999
217,2713530 Ontario Limited - Erin Mills Mitsubishi,101.3
218,2717922 Ontario Inc - Oakville Mitsubishi,109.06839694656487
219,2724367 Ontario Limited - Ontario Auto Outlet,124.73285714285714
220,2768791 Ontario Inc - Bluewave Auto Sales,6.760000000000001
221,2771889 Ontario Inc - Legacy Motors,131.227
222,2776588 Ontario Limited - Trucktown,93.76702819956616
223,2776736 Ontario Inc,107.53083333333336
224,2818876 Canada Inc - Adf Autos,104.14545454545454
225,2823739 Ontario Inc,67.87
226,2828036 Ontario Inc,124.57
227,2867325 Ontario Limited - Basilcarsca,39.6
228,2867849 Ontario Inc,69.94
229,2867985 Ontario Inc,101.12666666666668
230,2958 8134 Quebec Inc,101.975
231,2970 7528 Quebec Inc,110.10246290801189
232,2970-7528 Quebec Inc - H Gregoirelane1,100.39738714090286
233,2B Auto Sales,84.56
234,2Chop Fine Cars Inc,130.0533333333333
235,306 Deal Auto Sales,149.94
236,312460 Ontario Limited - Orr Motors,116.0
237,321438 Bc Limited - Midway Mazda,147.3770588235294
238,3220257 Canada Inc,128.18
239,3274232 Nova Scotia - Driving Time Auto,91.10783783783783
240,3278242 Nova Scotia Limited - Auction Direct,91.7423076923077
241,3278725 Ns Limited - Century Hyundai,101.31
242,3289828 Nova Scotia Limited - Capital Auto Sales,76.90938461538462
243,32898282 Ns Limited,54.83384615384615
244,330542 Bc Limited - Regency Chrysler,119.38
245,3495221 Canada Inc,89.13
246,392268 Alberta Limited,94.435
247,3953220 Canada Inc,203.6484615384616
248,3J Motors Inc,166.06
249,3Md Glory Motors Inc,123.354
250,401 Auto Rv Canada Inc,87.75066666666667
251,401 Auto Rv Canada Inc - Cambridge,106.641388101983
252,401 Dixie Hyundai,87.6725
253,401 Dixie Nissan401 Dixie Infiniti,86.34500000000001
254,4052803 Canada Inc,87.13499999999999
255,4055608 Canada Inc,83.99
256,416Carscom Auto Wholesaler,96.85
257,417 Nissan Infiniti - Ottawa N Motors,107.55285714285716
258,4197046 Canada Inc Autos Bb,140.37541666666667
259,4210409 Canada Inc - Vf Auto,55.31
260,427 Qew Kia,79.31714285714285
261,428238 Bc Limited,45.27
262,4400488 Nova Scotia Limited,107.6325
263,4610091 Manitoba Limited,98.87
264,4Mk Auto,85.02846153846153
265,5 Stars Motors - 1000257514 Ontario Inc,145.41027027027027
266,5002235 Ontario Limited - Opulent Motors,96.15
267,5039454 Ontario Inc - Petawawa Kia,107.02636363636364
268,5039459 Ontario Inc - Brockville Honda,90.37
269,5039460 Ontario Inc - Kingston Toyota,113.07666666666664
270,5039461 Ontario Inc - Lexus Of Kingston,101.52
271,516941 Ontario Limited Cornwall,98.8
272,519 Cars,99.58642857142856
273,561870 Ontario Limited,89.1285714285714
